total_evidence_count,official_evidence_count,corroborated_evidence_count,self_declared_count,accepted_official_count,accepted_corroborated_count,disputed_count,rejected_count,biometric_match_present,government_record_present,verified_ngo_record_present,family_confirmation_present,verified_family_links_count,documents_verified_count,documents_rejected_count,external_confirmed_matches,weighted_evidence_sum,days_in_system,identity_score
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3999999999999999,305,14.4
8,2,3,3,2,3,0,0,1,0,1,1,2,1,1,2,5.15,349,100.0
2,1,0,1,1,0,0,0,0,0,1,0,0,2,1,2,2.65,178,48.2
6,2,2,2,2,1,0,1,0,1,1,0,2,2,0,0,3.3,226,76.6
5,0,1,4,0,1,2,0,0,0,0,1,1,0,0,1,1.25,301,4.4
5,2,1,2,2,1,0,0,0,1,1,0,2,1,0,1,3.75,45,83.5
6,2,1,3,2,1,0,0,1,1,0,1,0,0,0,0,3.15,12,70.8
5,2,2,1,2,2,0,1,1,1,0,1,1,1,0,1,3.6,60,80.1
8,2,2,4,2,2,0,0,1,0,1,1,1,0,0,1,4.15,7,87.8
5,1,0,4,1,0,0,0,1,0,0,0,1,2,0,1,3.3,130,66.2
4,2,2,0,2,2,0,0,1,1,0,0,0,1,0,0,2.2,271,75.7
4,0,1,3,0,1,2,0,0,0,0,1,1,0,0,0,0.6000000000000001,15,0.0
5,0,1,4,0,1,0,0,0,0,0,1,0,1,0,0,1.8499999999999999,95,25.4
8,3,2,3,3,2,0,0,1,1,1,1,0,0,0,0,4.0,242,91.8
1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0.9000000000000001,123,3.0
6,2,1,3,2,1,0,0,0,1,1,1,2,0,0,0,3.85,22,74.1
5,0,1,4,0,1,0,0,0,0,0,1,0,2,0,0,2.2,82,35.2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.10000000000000003,24,0.0
7,2,1,4,2,1,0,1,0,1,1,0,0,1,1,0,2.5500000000000003,225,58.9
3,1,2,0,1,2,0,0,0,0,1,0,2,1,0,1,2.45,145,60.4
4,2,1,1,2,1,0,0,1,0,1,1,0,0,0,0,2.7,133,51.9
5,0,2,3,0,2,1,0,0,0,0,1,1,1,0,1,1.95,251,28.0
7,0,3,4,0,2,0,0,0,0,0,1,0,1,0,0,1.8499999999999999,126,41.5
4,0,3,1,0,3,0,0,0,0,0,1,0,0,0,1,1.3499999999999999,341,39.9
6,2,1,3,2,1,0,1,0,1,1,1,1,1,0,0,3.45,289,58.3
5,0,1,4,0,1,0,0,0,0,0,0,1,0,0,2,2.1,324,40.7
5,2,2,1,2,2,0,0,1,0,1,0,0,1,0,0,2.35,316,70.9
3,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1.8,154,33.3
7,1,2,4,0,2,1,0,0,0,1,1,1,2,0,1,3.3499999999999996,203,52.3
4,1,2,1,1,2,0,0,0,0,1,1,1,2,0,0,2.8499999999999996,77,56.8
2,1,1,0,1,0,0,0,0,1,0,1,0,2,0,1,2.75,47,53.1
4,1,2,1,1,1,0,0,1,0,0,1,0,2,1,0,2.55,152,60.4
4,0,2,2,0,2,0,0,0,0,0,1,2,0,0,0,1.9,138,36.1
5,1,1,3,1,1,0,0,0,0,1,1,0,1,0,0,2.5,102,35.5
4,0,1,3,0,1,0,0,0,0,0,1,0,1,1,1,2.0999999999999996,326,30.0
3,1,1,1,1,1,0,0,1,0,0,1,0,2,0,1,3.0,12,61.1
3,2,1,0,2,1,0,0,1,1,0,1,1,1,0,1,3.75,226,78.8
1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,2,1.85,143,27.1
5,3,1,1,3,0,0,2,1,1,1,1,0,0,0,0,2.9000000000000004,256,55.3
6,0,2,4,0,2,0,0,0,0,0,1,2,0,1,1,2.75,25,45.1
6,2,2,2,2,2,0,0,1,1,0,1,0,0,0,0,2.9499999999999997,345,76.9
4,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1.9500000000000002,40,42.7
6,1,1,4,1,1,0,2,0,0,1,0,0,0,0,1,1.4000000000000001,183,12.5
3,1,1,1,1,1,0,0,0,1,0,1,0,0,0,2,2.7,188,50.4
3,2,1,0,1,0,1,1,1,0,1,1,1,2,0,2,3.6,129,57.6
3,2,1,0,2,1,0,0,1,0,1,1,1,0,0,0,2.9,69,58.3
2,0,0,2,0,0,2,2,0,0,0,0,3,1,0,0,0.15000000000000013,28,0.0
2,1,1,0,1,1,0,0,1,0,0,0,1,2,0,0,2.05,49,58.9
2,0,1,1,0,1,0,1,0,0,0,1,2,1,0,0,1.7000000000000002,183,19.2
3,0,2,1,0,1,0,1,0,0,0,1,1,1,0,2,2.2,268,36.5
5,3,1,1,3,0,0,0,1,1,1,0,1,2,1,0,4.0,283,100.0
5,1,1,3,1,1,0,1,0,0,1,1,1,0,0,0,2.1999999999999997,111,28.5
5,1,3,1,1,2,0,1,0,0,1,1,0,1,0,0,1.75,86,41.1
5,2,2,1,2,1,0,0,0,1,1,1,2,2,0,0,4.15,20,86.4
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,55,1.5
2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0.7000000000000001,192,13.5
5,1,1,3,1,0,0,0,0,0,1,1,1,0,0,0,2.55,198,37.5
4,2,2,0,1,2,1,1,1,0,1,1,0,1,0,0,1.9499999999999997,35,36.9
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1.2,188,30.2
2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0.55,329,8.3
5,1,1,3,1,0,0,0,0,1,0,1,3,1,1,0,3.7500000000000004,165,62.4
5,0,2,3,0,2,0,0,0,0,0,1,1,0,0,0,1.7000000000000002,86,30.7
3,0,2,1,0,2,1,0,0,0,0,1,0,2,0,1,1.4999999999999998,167,24.5
6,1,2,3,1,2,0,0,1,0,0,1,0,0,0,0,2.25,213,57.2
3,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0.4,307,8.5
4,1,0,3,1,0,0,1,0,1,0,0,1,0,1,0,1.5500000000000003,263,32.7
4,2,0,2,2,0,0,2,0,1,1,0,2,2,0,0,2.95,63,45.8
7,2,2,3,1,1,1,0,0,1,1,1,0,1,0,0,2.8500000000000005,133,54.5
5,3,1,1,3,1,0,0,1,1,1,1,0,0,0,1,4.050000000000001,218,86.5
4,1,1,2,1,1,0,0,0,0,1,1,1,0,0,0,2.3499999999999996,272,37.0
7,0,3,4,0,2,0,1,0,0,0,1,0,0,0,1,1.6,39,27.2
5,1,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0.9500000000000001,84,34.0
8,3,3,2,2,3,1,0,1,1,1,1,1,1,0,0,4.000000000000001,317,90.4
4,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1.25,110,14.6
5,0,2,3,0,1,0,0,0,0,0,1,1,1,0,0,2.0500000000000003,324,44.0
8,1,3,4,1,3,0,0,0,1,0,1,1,0,0,0,2.8,157,65.6
4,1,2,1,1,1,0,0,1,0,0,1,3,0,0,1,3.5000000000000004,218,72.7
3,1,2,0,1,1,0,0,0,0,1,1,0,1,0,0,1.9,43,32.8
1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1.4999999999999998,147,20.7
6,2,1,3,1,1,1,0,0,1,1,1,0,1,0,1,3.3000000000000007,347,53.0
4,2,2,0,1,2,1,0,1,1,0,1,1,2,0,0,3.0999999999999996,105,73.7
3,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0.75,81,17.6
6,2,1,3,2,1,0,0,1,1,0,1,2,0,0,1,4.4,122,88.4
4,1,0,3,1,0,0,0,0,0,1,0,2,0,0,0,2.25,156,32.5
6,2,0,4,2,0,0,1,0,1,1,0,0,0,0,1,2.65,204,45.8
5,2,1,2,2,1,0,0,1,0,1,1,0,0,0,2,3.8,315,74.1
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.1,68,15.8
5,1,1,3,1,1,0,1,0,0,1,0,2,1,0,0,2.25,324,37.2
7,1,2,4,1,2,0,1,0,0,1,1,1,1,0,0,2.7499999999999996,101,39.6
8,2,3,3,2,3,0,0,1,1,0,1,0,1,0,1,3.95,70,100.0
3,0,2,1,0,2,0,1,0,0,0,0,2,0,0,0,0.65,219,20.0
4,1,1,2,1,1,0,0,0,1,0,0,2,1,0,1,2.9000000000000004,325,70.1
3,0,1,2,0,1,2,0,0,0,0,0,2,0,0,2,1.0,113,3.3
3,1,0,2,1,0,0,0,0,1,0,0,3,2,0,1,3.65,265,70.0
5,1,1,3,1,1,0,0,0,1,0,0,2,1,0,1,3.1000000000000005,13,60.1
6,0,2,4,0,2,0,0,0,0,0,0,0,1,0,0,1.15,275,31.5
5,1,1,3,1,1,0,1,0,1,0,1,0,1,0,1,2.6500000000000004,12,46.9
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.85,325,10.6
5,2,2,1,2,2,0,1,0,1,1,0,0,2,0,0,2.3000000000000003,217,55.8
5,2,1,2,2,1,0,2,0,1,1,1,3,1,0,0,3.7,101,54.6
2,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,2.4000000000000004,100,52.3
5,2,0,3,2,0,0,0,0,1,1,0,1,0,0,0,2.75,13,46.1
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.55,29,0.0
5,1,2,2,1,2,0,0,0,0,1,1,1,2,0,0,3.0499999999999994,134,61.4
2,1,1,0,1,1,0,0,0,0,1,1,1,2,0,0,2.6499999999999995,45,42.5
5,0,1,4,0,0,0,0,0,0,0,1,1,0,1,2,2.8,331,36.5
6,2,1,3,2,0,0,1,0,1,1,1,0,1,0,0,3.0500000000000003,175,49.0
4,2,1,1,2,1,0,1,1,1,0,0,0,1,0,0,2.0500000000000003,224,57.1
1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,-0.35,50,0.0
7,2,3,2,2,3,0,0,0,1,1,1,3,1,0,0,4.4,154,93.2
5,2,1,2,2,0,0,0,0,1,1,0,2,1,0,0,3.3,88,75.7
6,2,2,2,2,2,0,0,1,1,0,1,2,0,0,0,3.7499999999999996,349,86.2
3,2,1,0,2,0,0,0,1,1,0,1,0,0,0,1,3.0,17,68.1
2,1,1,0,1,0,0,2,0,1,0,0,2,0,0,0,1.0000000000000002,278,20.3
5,1,0,4,1,0,0,1,0,0,1,0,0,2,1,1,2.4499999999999997,84,35.6
4,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,0.9,189,19.7
5,0,2,3,0,2,0,0,0,0,0,1,0,1,0,0,1.65,138,30.2
5,1,0,4,1,0,0,0,0,1,0,0,0,1,0,0,2.05,190,38.2
3,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,2.25,255,45.1
5,1,2,2,1,2,0,1,0,0,1,1,0,1,0,1,2.4,88,39.1
5,0,1,4,0,1,1,0,0,0,0,1,0,0,0,1,1.4,271,12.4
8,1,3,4,1,3,0,0,0,1,0,1,1,2,0,0,3.5,168,82.1
3,1,0,2,1,0,0,0,1,0,0,0,2,0,0,0,2.15,206,46.4
3,2,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1.6499999999999997,334,37.0
2,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,1.9500000000000002,29,30.2
6,1,2,3,1,2,0,0,0,0,1,0,1,2,0,0,2.55,204,63.9
6,1,2,3,1,2,0,0,0,1,0,1,0,2,0,0,2.9,322,62.4
5,2,3,0,2,2,0,0,0,1,1,1,0,0,0,1,2.9000000000000004,309,72.4
5,1,1,3,1,1,0,0,0,1,0,0,1,0,0,2,2.8000000000000003,288,62.8
5,2,1,2,2,1,0,0,1,0,1,0,2,2,0,0,3.6999999999999997,273,79.5
5,2,1,2,2,1,0,0,1,0,1,0,0,0,0,1,2.65,314,66.1
4,1,1,2,1,0,0,0,0,1,0,1,0,1,0,0,2.35,209,41.0
7,3,1,3,3,1,0,0,1,1,1,1,1,0,0,0,4.4,335,92.3
3,0,1,2,0,1,0,0,0,0,0,1,0,1,1,0,1.4499999999999997,102,23.7
2,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,-0.35,311,0.0
1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0.5999999999999999,76,18.2
4,1,0,3,1,0,0,0,0,0,1,0,0,0,0,1,1.9000000000000001,289,26.8
6,2,2,2,2,2,0,0,1,0,1,1,0,0,0,0,2.9,152,61.4
7,1,2,4,1,2,0,0,0,1,0,1,0,2,0,0,3.0999999999999996,317,58.9
2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1.7,29,37.8
7,2,1,4,2,1,0,0,1,1,0,0,2,1,0,1,4.250000000000001,30,100.0
1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,2,1.85,335,26.7
4,2,0,2,1,0,1,1,1,0,1,0,0,0,0,2,2.1999999999999997,348,31.5
3,0,1,2,0,1,0,0,0,0,0,1,1,0,0,1,1.9500000000000002,29,25.9
5,0,1,4,0,1,0,0,0,0,0,1,2,1,0,0,2.6500000000000004,8,32.9
6,3,2,1,2,2,1,0,1,1,1,1,1,1,0,0,3.8000000000000007,62,82.8
4,1,0,3,1,0,0,2,0,0,1,0,1,0,0,1,1.5999999999999999,340,14.9
0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1.0499999999999998,232,2.0
7,3,2,2,1,2,2,0,1,1,1,1,2,2,0,1,4.65,143,88.5
5,2,2,1,2,1,0,0,1,1,0,0,0,0,0,0,2.0500000000000003,183,76.7
6,1,3,2,0,3,1,0,0,0,1,1,0,1,0,0,1.7499999999999998,183,38.3
5,1,2,2,1,2,0,0,0,0,1,1,3,1,1,1,3.95,75,74.3
7,1,2,4,0,2,1,0,0,0,1,1,0,1,0,1,2.6000000000000005,112,41.9
5,2,2,1,1,2,1,0,0,1,1,1,3,2,0,1,4.450000000000001,364,80.8
7,2,1,4,2,0,0,1,0,1,1,1,0,2,1,0,3.6,73,57.8
4,1,3,0,1,2,0,1,0,1,0,1,0,0,0,2,2.15,11,53.7
4,1,1,2,1,1,0,0,1,0,0,1,3,0,0,0,3.25,350,57.8
2,1,0,1,0,0,1,0,0,0,1,0,2,1,0,2,2.55,302,34.7
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6000000000000001,176,17.1
6,0,2,4,0,1,0,0,0,0,0,1,2,2,0,0,3.0,38,52.6
2,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,1.7500000000000002,39,29.9
2,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,2.0,256,41.2
2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1.3499999999999999,337,21.9
5,1,0,4,1,0,0,1,0,0,1,0,0,0,0,1,1.75,272,27.7
4,1,3,0,1,3,0,1,0,1,0,1,2,0,0,0,2.0500000000000003,53,50.4
2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1.35,190,45.7
3,2,1,0,2,1,0,0,0,1,1,1,0,0,0,0,2.45,344,51.6
7,2,2,3,2,1,0,1,1,0,1,1,0,2,1,1,3.9,164,80.0
5,1,1,3,1,1,0,0,1,0,0,0,0,0,0,1,2.0,137,55.2
2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1.05,195,14.2
4,3,0,1,3,0,0,1,1,1,1,0,1,0,0,0,2.95,116,69.0
2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7,91,23.7
5,0,3,2,0,2,2,0,0,0,0,1,2,0,0,0,0.7999999999999998,73,10.0
6,1,2,3,0,1,2,0,0,1,0,1,2,1,0,0,2.2500000000000004,223,31.8
2,1,1,0,1,0,0,0,1,0,0,1,2,1,0,1,3.2500000000000004,145,63.6
6,0,3,3,0,3,0,1,0,0,0,1,2,1,0,0,2.1,305,40.3
3,0,1,2,0,1,0,0,0,0,0,1,2,0,0,0,1.9,100,29.1
6,1,1,4,1,1,0,0,0,0,1,1,0,1,0,0,2.7,324,40.4
3,1,1,1,1,0,0,0,0,0,1,0,0,2,0,0,1.7499999999999998,286,35.0
6,2,1,3,2,0,0,0,0,1,1,0,2,1,0,0,3.5,106,67.6
5,0,1,4,0,0,1,1,0,0,0,0,3,2,0,1,2.2500000000000004,291,28.0
4,1,2,1,1,2,0,0,0,1,0,1,1,1,0,2,3.45,47,72.6
5,2,2,1,2,1,0,0,0,1,1,1,0,1,0,0,3.0000000000000004,85,68.0
6,2,0,4,2,0,0,2,0,1,1,0,0,0,0,0,1.8499999999999999,364,21.1
5,0,2,3,0,2,0,1,0,0,0,1,2,0,0,0,1.75,17,29.2
4,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0.6500000000000001,285,0.0
7,2,1,4,1,1,1,0,1,1,0,0,0,0,0,1,2.5500000000000007,275,59.1
3,2,1,0,2,1,0,0,0,1,1,0,0,0,0,1,2.2,50,52.7
2,1,1,0,1,1,0,0,0,0,1,0,3,2,0,1,3.2,95,67.0
6,1,1,4,1,1,0,0,0,0,1,1,0,2,0,1,3.5,306,52.7
7,3,2,2,3,2,0,0,1,1,1,1,0,0,0,2,4.700000000000001,182,100.0
3,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1.9,237,39.0
5,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,159,16.8
2,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1.75,36,34.0
5,0,2,3,0,2,0,0,0,0,0,1,0,2,0,0,2.0,142,41.0
4,1,1,2,1,1,0,0,1,0,0,0,2,1,0,0,2.5,273,59.7
5,2,1,2,2,0,0,1,0,1,1,0,0,1,0,0,2.15,99,49.7
5,0,1,4,0,1,0,0,0,0,0,1,1,1,0,1,2.7,109,42.6
5,1,2,2,1,2,0,0,1,0,0,1,0,0,0,0,2.05,137,49.6
4,0,1,3,0,0,0,0,0,0,0,1,2,0,0,1,2.55,65,35.5
5,2,3,0,2,2,0,0,0,1,1,1,2,0,1,0,3.25,348,80.5
1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1.7,93,43.5
6,0,2,4,0,2,0,1,0,0,0,1,0,0,0,0,1.15,161,20.0
4,1,1,2,1,1,0,0,1,0,0,1,1,2,0,0,3.15,299,59.1
3,1,0,2,1,0,0,1,0,0,1,0,3,1,0,1,2.9000000000000004,292,38.1
8,2,2,4,2,1,0,1,0,1,1,0,1,0,0,0,2.6,229,62.0
2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.8999999999999999,364,11.8
5,1,2,2,0,2,1,0,0,0,1,1,2,1,0,0,2.55,224,35.4
3,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1.7000000000000002,35,35.7
6,1,1,4,0,0,2,0,0,0,1,0,1,0,0,0,0.9499999999999997,334,1.7
3,2,1,0,2,1,0,0,0,1,1,0,0,0,0,0,1.75,134,43.0
3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1.35,249,26.5
3,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1.75,249,29.5
5,2,1,2,2,1,0,0,0,1,1,1,1,1,0,0,3.6,348,64.5
7,3,1,3,3,1,0,0,1,1,1,1,1,1,0,0,4.75,46,98.3
5,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,1.15,225,20.6
5,1,0,4,1,0,0,0,1,0,0,0,1,0,0,0,2.1500000000000004,77,41.1
5,1,2,2,1,2,0,2,0,1,0,0,0,2,0,0,1.3,355,31.4
4,1,1,2,1,1,0,0,0,1,0,1,0,1,0,0,2.35,329,49.5
2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1.6500000000000001,274,29.4
7,1,2,4,1,2,0,0,1,0,0,1,1,1,0,1,3.6500000000000004,189,82.1
2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,1.7000000000000004,199,32.1
7,3,1,3,3,1,0,0,1,1,1,1,0,0,0,1,4.450000000000001,186,92.2
4,0,1,3,0,1,1,1,0,0,0,1,2,1,0,1,2.0000000000000004,358,13.5
6,2,1,3,2,0,0,0,1,0,1,1,1,2,0,1,4.65,215,88.3
4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,315,14.2
4,2,0,2,2,0,0,0,0,1,1,0,2,0,0,1,3.4,87,63.4
5,1,2,2,0,1,1,0,0,1,0,1,1,2,0,1,3.0,253,53.9
5,0,1,4,0,1,0,1,0,0,0,0,2,0,0,0,1.25,352,18.7
7,0,3,4,0,3,0,0,0,0,0,1,0,0,0,0,1.5,347,37.3
3,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1.6500000000000001,350,30.1
2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.5999999999999999,97,35.9
4,1,2,1,1,2,0,0,0,0,1,1,0,0,1,0,1.7499999999999998,13,34.9
5,2,2,1,0,1,2,0,0,1,1,1,1,0,0,0,1.9500000000000002,193,28.2
3,2,1,0,2,1,0,0,1,0,1,0,0,2,0,2,3.4,83,82.9
3,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,2.5,207,37.4
6,2,1,3,2,1,0,0,1,0,1,1,0,2,0,1,4.25,26,84.3
7,3,2,2,3,2,0,0,1,1,1,0,0,0,0,0,3.1,81,91.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1.1,55,22.8
3,2,0,1,2,0,0,0,1,0,1,0,2,0,0,0,2.8,71,53.9
4,1,2,1,1,2,0,1,0,0,1,1,0,0,0,0,1.4,208,20.0
3,1,1,1,1,1,0,0,0,0,1,0,0,2,0,1,2.1999999999999997,101,47.7
